,id,created_at,text,hashtags,user_mention_ids,user_mention_screen_names,retweet_count,favorite_count,in_reply_to_user_id,in_reply_to_screen_name,user_id,user_screen_name,user_name,user_friends_count,user_followers_count,user_favourites_count,user_verfied,user_statuses_count,negative,neutral,positive,sentiment_score,sentiment
0,D1,2022-07-12 21:14:46,dunkin donut erwin tn mix frozen coffe ham breakfast subway campobello sc roast beef dollar gener landrum sc trash bag use toilet paper look low miss local store shelv,,[],[],0,0,,,1087030532532244480,Liza11864896,Liza,19,2,11,False,12,0.078,0.922,0.0,-0.5106,negative
1,D2,2022-07-12 21:13:49,dunkin realli thing w snackin bacon wtf,,[],[],0,0,,,244287576,bombassZee,🧚🏾‍♀️FairyThugMuva🧚🏾‍♀️,970,2174,31581,False,72906,0.297,0.703,0.0,-0.5859,negative
2,D3,2022-07-12 21:11:55,dunkin gotta though lol,,[54966102],['Sherly_Francois'],0,0,54966102.0,Sherly_Francois,132369739,Calkent,Calvin,4995,3048,12989,False,45333,0.0,0.674,0.326,0.5242,positive
3,D4,2022-07-12 21:10:31,dunkin mobil dunkin mobil commerci,,[],[],0,0,,,30797693,AVMGDIGITALHD,AVMGDIGITALHD,1518,765,247,False,45338,0.0,1.0,0.0,0.0,neutral
4,D5,2022-07-12 21:08:12,newish place long pond next bryant stanton right next dunkin want go,,[1677218400],['PatrickGerald70'],0,0,1677218400.0,PatrickGerald70,1695352830,Syder_42,Jeff,1071,379,31939,False,27597,0.0,0.947,0.053,0.0772,positive
5,D6,2022-07-12 21:05:29,first thing get shift starbuck everi day go dunkin buy latt,,[],[],0,5,,,834193096787316738,gayidiot49,maria kate,489,1047,133827,False,28048,0.0,1.0,0.0,0.0,neutral
6,D7,2022-07-12 21:05:23,undermin dunkin,,[],[],0,0,,,1235781199005732864,wongkarway,mr. cant keep a job,357,389,50514,False,32643,0.455,0.545,0.0,-0.3612,negative
7,D8,2022-07-12 21:05:01,work dunkin donut put azuki bean cheek,,[],[],0,0,,,727039238697443329,realbryn,Bryn Anderson,3,12,0,False,320102,0.0,1.0,0.0,0.0,neutral
8,D9,2022-07-12 21:04:36,tariq say 5 fba women good enough top rang black men say 70 fat other pop babi like dunkin donut clearli see meant shit peopl still give money,,[],[],0,0,,,62365331,superckat,Superckat,534,771,10119,False,26597,0.042,0.769,0.189,0.722,positive
9,D10,2022-07-12 21:03:48,welcom environmentalist well known harm compani dunkin donut use two million cup per year beverag knew carbon footprint import tune behind close door stat,,[],[],0,0,,,1329492481248014336,carboncompanies,environmental footprints,0,149,0,False,83265,0.0,0.788,0.212,0.7946,positive
10,D11,2022-07-12 21:02:30,stood dunkin 5 minut 2 poor worker notic apolog proceed give half dozen free gonna get thrown anyway cuz nighttim thought count,,[1478444279408250884],['girl_01000100'],0,0,1.478444279408251e+18,girl_01000100,1400246957856202753,milk_n_honey0,t.a.e. like TT 👇🏽,62,31,18150,False,2386,0.044,0.875,0.081,0.1901,positive
11,D12,2022-07-12 21:00:38,go dunkin donut 7 eleven unless slight indian accent joe biden gaff mindset label pigeonhol peopl,,[1043185714437992449],['catturd2'],2,3,1.0431857144379924e+18,catturd2,758567667653632000,ZupancicJareen,Red In the Burgh,9259,8427,330577,False,113795,0.0,1.0,0.0,0.0,neutral
12,D13,2022-07-12 21:00:26,latinx folx appar taco peopl dunkin cater indian,,[55329156],['RNCResearch'],0,0,55329156.0,RNCResearch,1096889892049731584,Chematty1,Rescue Dog Breeder,148,64,3963,False,4823,0.0,1.0,0.0,0.0,neutral
