created_at,text,hashtags,user_mention_ids,user_mention_screen_names,retweet_count,favorite_count,in_reply_to_user_id,in_reply_to_screen_name,user_id,user_screen_name,user_name,user_friends_count,user_followers_count,user_favourites_count,user_verfied,user_statuses_count
2022-06-16 17:37:38+00:00,"The best part of waking up. Lol  Best part for me was seeing that my piece ""But First... Coffee"" is SOLD! Big shout-out to my collector (he knows who he is) Only 7 pieces left in this collection + one of mine is on secondary now.... what?!?! ,","['Folgers', 'NFTart']",[],[],0,0,,,1140995107333840899,SpeakerJillB,SpeakerJill.eth | NFT.NYC Artist,1985,3768,11154,False,1414
2022-06-16 17:03:56+00:00,Folgers in your cup of course lol.,[],[1458148881443655680],['OGSugaNips1'],0,0,1458148881443655680,OGSugaNips1,1381766884119478278,cayde7x,EPICPLAYZ,141,155,253,False,570
2022-06-16 16:59:55+00:00,"Folgers in your cup. ,",[],[],[],0,0,,,746496441464459265,JohnBranson17,John Branson,385,86,5479,False,8451
2022-06-16 16:51:23+00:00,Folgers and all that. All trash.,[],[1508484984],['ttondabeat'],0,1,1508484984,ttondabeat,70747790,jnator,Danny Ocean,1084,329,7797,False,11235
2022-06-16 16:38:13+00:00,Folgers classic roast,[],[23554832],['smc429'],0,0,23554832,smc429,1172358895609831424,SusanIsSicOfGOP,Susan 💙💜💖🧡,2062,2320,130352,False,42535
2022-06-16 16:32:16+00:00,More like so boomers can get away from their wifes and make inappropriate comments to woman in the workplace then talk to other boomers about how their stock is doing while sipping on 59c Folgers coffee with their blue checkered shirts tucked into their jeans,[],[101399838],['becca_angelette'],0,0,101399838,becca_angelette,1186841142316453888,eeveelite,too stressed to be blessed,243,28,861,False,886
2022-06-16 16:06:04+00:00,What happened to Folgers in my cup?,[],[792687820951261184],['sandwichrecipez'],0,0,792687820951261184,sandwichrecipez,1254611298978914304,jenkins17606170,Mr. Jenkins ☮️,671,58,1447,False,11594
2022-06-16 16:01:47+00:00,"Good morning  Not wanting any but I start day with Folgers..daughter and I take turns buying the big can for 12.00. sometimes we splurge a sale,get a small bag to mix and a touch of French vanilla or hazelnut. You truly are an angel among us. Btw I'm not on empty YET! 2 2",[],[1231129950931030016],['YouRLoved2022'],0,0,1231129950931030016,YouRLoved2022,288238839,conwaytwittlet,⛵Lilys Nana ⛵,1475,210,34274,False,18290
2022-06-16 16:00:51+00:00,The best part of waking up is folgers in your cup,[],[],[],0,2,,,762120007,MitchelKrekling,Mitch,625,641,9897,False,6177
2022-06-16 15:58:27+00:00,I love a good cup of coffee. Folgers and Maxwell House feels like assault though. Maxwell House is waking up via a cold bucket of water being poured on you in cup form. Im TOO damn alert rn,[],[],[],0,1,,,1158720129103998977,raqueljusteen,Raquel Justeen🧚🏼‍♀️,296,299,57210,False,15745
2022-06-16 15:12:17+00:00,Lol brooooo Folgers its gross.,[],[1309337680279474181],['iAML0VELess'],0,1,1309337680279474181,iAML0VELess,1458148881443655680,OGSugaNips1,UMBRA SugaNips1,1298,1904,4629,False,1917
