created_at,text,hashtags,user_mention_ids,user_mention_screen_names,retweet_count,favorite_count,in_reply_to_user_id,in_reply_to_screen_name,user_id,user_screen_name,user_name,user_friends_count,user_followers_count,user_favourites_count,user_verfied,user_statuses_count
2022-07-12 21:14:46,Dunkin Donuts in Erwin TN is out of mix for frozen coffee and ham for their breakfast. Subway in Campobello SC was out of roast beef. Dollar General in Landrum SC is out of the trash bags I use and the toilet paper was looking low. What's missing from your local store shelves?,[],[],[],0,0,,,1087030532532244480,Liza11864896,Liza,19,2,11,False,12
2022-07-12 21:13:49,Dunkin really did they thing w that snackin bacon wtf. ,[],[],[],0,0,,,244287576,bombassZee,🧚🏾‍♀️FairyThugMuva🧚🏾‍♀️,970,2174,31581,False,72906
2022-07-12 21:11:55,Why Dunkin gotta be all that though?!!  lol,[],[54966102],['Sherly_Francois'],0,0,54966102,Sherly_Francois,132369739,Calkent,Calvin,4995,3048,12989,False,45333
2022-07-12 21:10:31,DUNKIN /T-MOBILE - DUNKIN _T-MOBILE Commercial,[],[],[],0,0,,,30797693,AVMGDIGITALHD,AVMGDIGITALHD,1518,765,247,False,45338
2022-07-12 21:08:12,There is a newish place on long pond next to Bryant and Stanton right there next to Dunkin. I want to go in there.,[],[1677218400],['PatrickGerald70'],0,0,1677218400,PatrickGerald70,1695352830,Syder_42,Jeff,1071,379,31939,False,27597
2022-07-12 21:05:29,the first thing i do when i get off my shift at starbucks every day is go to dunkin and buy my latte,[],[],[],0,5,,,834193096787316738,gayidiot49,maria kate,489,1047,133827,False,28048
2022-07-12 21:05:23,being undermined at dunkin,[],[],[],0,0,,,1235781199005732864,wongkarway,mr. cant keep a job,357,389,50514,False,32643
2022-07-12 21:05:01,"If I worked at Dunkin Donuts, I'd put azuki bean on my cheek.",[],[],[],0,0,,,727039238697443329,realbryn,Bryn Anderson,3,12,0,False,320102
2022-07-12 21:04:36,"Tariq saying only 5% of his FBA women are good enough for Top of the range Black men. Saying 70% are too fat. and others popping out Babies like Dunkin Donuts. You can clearly see here he meant that shit! But people still giving him their money.  ,",[],[],[],0,0,,,62365331,superckat,Superckat,534,771,10119,False,26597
2022-07-12 21:03:48,Welcome environmentalists! The well known harmful company Dunkin Donuts uses about TWO MILLION cups per year on beverages! Who knew that carbon footprints are important! Tune in for more behind closed door stats!,[],[],[],0,0,,,1329492481248014336,carboncompanies,environmental footprints,0,149,0,False,83265
2022-07-12 21:02:30,I stood in Dunkin for about 5 minutes before the 2 poor workers noticed me. She apologized and proceeded to give me a half dozen for free (they were gonna get thrown out anyway cuz it was nighttime but it's the thought that counts),[],[1478444279408250884],['girl_01000100'],0,0,1478444279408250884,girl_01000100,1400246957856202753,milk_n_honey0,t.a.e. like TT 👇🏽,62,31,18150,False,2386
2022-07-12 21:00:38,"""You cannot go into a Dunkin' Donuts or a 7-Eleven unless you have a slight Indian accent."" ~ Joe Biden These are not gaffes. This is their mindset. Labeling and pigeonholing people.",[],[1043185714437992449],['catturd2'],2,3,1043185714437992449,catturd2,758567667653632000,ZupancicJareen,Red In the Burgh,9259,8427,330577,False,113795
2022-07-12 21:00:26,Just for the Latinx folx--because apparently they're the taco people. Dunkin is catering for the Indians.,[],[55329156],['RNCResearch'],0,0,55329156,RNCResearch,1096889892049731584,Chematty1,Rescue Dog Breeder,148,64,3963,False,4823
2022-07-12 20:59:55,Yes it is. Have you had Dunkin cold brew yet?,[],"[827042871412813824, 1253654718825578499, 706480993851543554, 781559090640191489, 1472562372283928583, 2352999398, 427503889, 4042601667, 1401647141467000832, 1317155848750272513, 1098777647591485440, 2281748428, 1397903961907150852, 2903206540, 262402605, 1271060610139095040, 69948232, 2893845064, 1469777471809761280, 3004099926, 2271206352, 1070476829000118272, 428770613, 1450423762726293507, 1091796346338562048, 2853982444, 1370162820118155270, 1390846926204162048, 2998988795, 1297036528003067904, 1008210967056924672, 3319232285]","['crimsonmanic24', 'tribalreigns', 'Cabecki68', 'SmallcageGG', 'KenFormosa1', 'melbprieto', 'WwekyGirl90', 'tbrooks2714', 'lisabraybrook1', 'AKRRFORLIFE', 'MaricelaAlcan10', 'chrisnewleaf', 'CrazyRomanFan', 'voicefanatic36', 'DonnaK39', 'Chiku291213', 'Americareform', 'youngjaykay82', 'schildress962', 'DeloresCrichton', 'flasis39', 'Wagonmaster4', 'mpup23', 'ken_formosa', 'Nig_________', 'L_DP_Taylor', 'SChildress22', 'formosa_ken', 'HEATHEREIGN76', 'BraybrookLisa', 'CDashchi', 'JoDresbach']",0,1,827042871412813824,crimsonmanic24,82770412,psiangelic,Laura 💜,2778,3497,1050,False,377118
2022-07-12 20:58:51,"Patriots are getting a Dunkin Donuts gift card in return, per source ,",[],[],[],0,0,,,1435328779560304640,Josheenyoo,Joshinho,257,186,28885,False,18103
2022-07-12 20:58:49,"You cannot go to a 7-Eleven or a Dunkin Donuts unless you have a slight Indian accent."" Biden 2006",[],"[1457334774079631361, 7702542]","['realpeterf', 'DLoesch']",0,0,1457334774079631361,realpeterf,519088982,MelanieChristi2,Melanie Christiansen,146,145,85218,False,37871
2022-07-12 20:58:10,please make pumpkin at dunkin' all year round,[],[8771022],['dunkindonuts'],0,0,8771022,dunkindonuts,1368298752,kelshebriann,kelshe brianna💜,1146,421,56533,False,12567
2022-07-12 20:57:58,"Dunkin baby you deserve better. Leave the toxic relationship, she cheated ",[],"[2716264415, 1193317559766061057]","['smalltalkcv', 'sturniolo_luver']",0,1,2716264415,smalltalkcv,465531451,babybluemaee,Mae,167,270,117406,False,96985
2022-07-12 20:57:56,So youre telling me that the KKK capital has a Dunkin Donuts but J-boog doesnt? Rude.,[],[],[],0,0,,,1095567435241971713,sarahbeth1699_,𝓼𝓪𝓻𝓪𝓱,416,33,2626,False,599
2022-07-12 20:56:08,this information appeared to me in my dreamsi no longer sleep.,[],"[15954781, 902256170]","['bulkUSBchargers', 'hum_dunkin']",0,3,15954781,bulkUSBchargers,37309591,tybuddhaboy,tybuddhaboy,624,3292,153868,False,49850
2022-07-12 20:56:06,"""You cannot go into a Dunkin' Donuts or a 7-Eleven unless you have a slight Indian accent."" ~ Joe Biden These are not gaffes. This is their mindset. Labeling and pigeonholing people.",[],[1187835922118787073],['lavern_spicer'],1,1,1187835922118787073,lavern_spicer,758567667653632000,ZupancicJareen,Red In the Burgh,9259,8427,330577,False,113795
2022-07-12 20:55:49,"Taco Bell, Italian food, Korean food, McDonalds, dunkin donuts",[],"[1523241980121255936, 1400996944936321024]","['EngulfedShadow', 'aquue_2']",0,2,1523241980121255936,EngulfedShadow,1523754128161263616,lvy_xia0,🍓🌸♞☽𝕄𝕖𝕚☾♞🌸🍓,682,668,1964,False,1303
2022-07-12 20:55:44,DUNKIN DESERVES BETTER,[],"[2716264415, 1193317559766061057]","['smalltalkcv', 'sturniolo_luver']",1,2,2716264415,smalltalkcv,465531451,babybluemaee,Mae,167,270,117406,False,96985
2022-07-12 20:54:38,i still love dunkin very much ,[],[1193317559766061057],['sturniolo_luver'],0,0,1193317559766061057,sturniolo_luver,2716264415,smalltalkcv,brandi ☁️ 9,678,2024,67396,False,65541
2022-07-12 20:54:17,Dunkin. Donuts,['انترنت_غير_محدود_ف_مصر'],[],[],0,0,,,2273449861,islamyusuf4,Joe,92,9,11,False,227
2022-07-12 20:53:34,sturgeon must condemn,[],[522289313],['AnnieKNK'],0,4,522289313,AnnieKNK,902256170,hum_dunkin,hum dunkin,923,1460,129391,False,22941
2022-07-12 20:53:18,JUSTICE FOR DUNKIN,[],[2716264415],['smalltalkcv'],0,0,2716264415,smalltalkcv,465531451,babybluemaee,Mae,167,270,117406,False,96985
2022-07-12 20:53:13,Shouldnt have cheated on dunkin with starbucks,[],[2716264415],['smalltalkcv'],0,0,2716264415,smalltalkcv,1193317559766061057,sturniolo_luver,Abi💚,487,104,10979,False,831
2022-07-12 20:52:46,I CANT BELIEVE YOU CHEATED ON DUNKIN,[],[2716264415],['smalltalkcv'],0,1,2716264415,smalltalkcv,1193317559766061057,sturniolo_luver,Abi💚,487,104,10979,False,831
2022-07-12 20:52:08,YEAH BC YOU LOVE DUNKIN SM,[],[2716264415],['smalltalkcv'],0,1,2716264415,smalltalkcv,465531451,babybluemaee,Mae,167,270,117406,False,96985
