created_at,text,hashtags,user_mention_ids,user_mention_screen_names,retweet_count,favorite_count,in_reply_to_user_id,in_reply_to_screen_name,user_id,user_screen_name,user_name,user_friends_count,user_followers_count,user_favourites_count,user_verfied,user_statuses_count
2022-06-16 16:01:59,"Meet Mellody Hobson, the Starbucks chair  and wife of George Lucas  who's about to become the first Black woman part-owner in the NFL ,",[],[],[],0,0,,,77993246,nuyou22,kennedy,644,179,13743,False,15661
2022-06-16 16:01:44,"Finished work so gonna drive back home, have a break, pray asr and then make moves back to Starbucks to finish up my last sub heading Inshallah God willing and alla dat",[],[],[],0,0,1534792036494229505,Larocheposay5,1534792036494229505,Larocheposay5,Larocheposay,18,16,5,False,17
2022-06-16 16:01:36,"Want to land a job like ""Barista - Store# 12163, EDINBURGH - STOCKBRI"" at Starbucks? Applicant tracking systems look for specific keywords. Use the right keywords and get your resume in front of the hiring manager.",['Retail'],[],[],0,0,,,38067675,tmj_uke_jobs,TMJ-UKE Jobs,317,388,0,False,395
2022-06-16 16:01:35,"Just yesterday, Starbucks employees at a store in Anaheim voted 10 to 1 to join Workers United, a national union affiliated with the Service Employees International Union, which is assisting the largely grass-roots organizing campaign. ,",[],[18825804],['kcandaele'],0,0,,,398068962,UCLALabor,UCLA Labor Center,758,7193,2381,False,6837
2022-06-16 16:01:01,I came to Starbucks to be productive but theres way too much people here. Where else can I go sit down and do work?,[],[],[],0,0,,,1192670568962830336,trvlyblessed__,CHA,943,3660,95907,False,194767
2022-06-16 16:00:53,"Not opposed to a Starbucks for a coffee or quick brekky but otherwise, no chains",[],[42956737],['nfldraftscout'],0,0,42956737,nfldraftscout,2447361472,kammen_mike,Triers Try. Doers Do.,236,159,44534,False,16976
2022-06-16 16:00:39,bro its to the point where i walk into starbucks and dont recognize anyone working,[],[],[],0,0,,,1031671088965550080,mirandarricks,miranda,96,43,3085,False,770
2022-06-16 16:00:37,I think I need Starbucks today ,[],[],[],0,0,,,457144300,in_the_MEERAH,A.,1677,3977,18796,False,69514
2022-06-16 16:00:37,"Absolutely LUV Meghan, shes getting us Starbucks when I need it so desperately ",[],[],[],0,0,,,885440208,fembotxx,𝔰𝔞𝔡 𝔠𝔩𝔬𝔴𝔫 /ᐠ ̥ ̮ ̥ ᐟ\ฅ,649,471,21502,False,11311
2022-06-16 16:00:34,"that moment when im using this thread to find new drinks to order at starbucks  ,",[],[],[],0,2,,,1435350140248801285,CookiePrincxss,Cookie! #16155 SELFIE DAY 📌,391,1008,329103,False,62020
2022-06-16 16:00:27,Say goodbye to Starbucks.,[],[788386725668192260],['AnnaLovesVoting'],0,0,788386725668192260,AnnaLovesVoting,3605767098,hylen26,Hylen S,4062,899,205314,False,59794
2022-06-16 16:00:21,they put sumn in my Starbucks coffee.. in here with my eyes wide tf open ,[],[],[],0,0,,,716399186107695105,Jawdaaay,Jade DeShawn🦋,1064,1552,15691,False,23040
2022-06-16 16:00:17,"Don't forget - Campus will be closed on Friday 6.17 for Juneteenth weekend. Rowdys will still be open for regular service on Friday 6.17, but The Market and Starbucks will be closed. All operations will resume as normal on Monday 6.20. ,","['McNeeseDining', 'MyMcNeese']",[],[],0,0,,,2153448200,McNeese_Dining,McNeese Dining,64,246,46,False,4186
2022-06-16 16:00:16,Espresso-based drinks are utter trash and are purely a conspiracy by Starbucks to sell pricier beverages.,[],[],[],0,0,16163053,aendra,16163053,aendra,ændra,2575,2366,13920,True,13574
2022-06-16 16:00:07,"its ok, soon the yt ppl will take over hawaii and turn it into every other fuckin city in america and then no one will want to go there bc there wont be natives to take care of the land. yall wanna colonize so bad just for there to be starbucks and mcdonalds on the beach ,",[],[],[],0,0,,,3075599894,alorenmoore,l⬡ren 🔜 CHROMEO 🚧,964,539,21040,False,15056
2022-06-16 15:59:58,"So, if you want to be a totally autonomous, no-frills, no-programs, no ""liberal drift,"" and no big-city pastors in skinny jeans sipping Starbucks looking over your shoulder and offering advice, then why not just do that?",[],[],[],0,1,19245279,JennMGreenberg,19245279,JennMGreenberg,Jennifer Greenberg,13969,26278,183459,True,131907
2022-06-16 15:59:56,I dont go to Starbucks everyday lol. I make my own one most of the time.,[],[1448691041993781250],['atulkumarrrrr'],0,0,1448691041993781250,atulkumarrrrr,1185135767753936896,IneffableRama,Rama 😼,6172,6902,176358,False,50435
2022-06-16 15:59:52,Bitches think theyre making a political statement not drinking Starbucks yet they cant even name the three branches of power ,[],[],[],0,0,,,1332810567749410817,3J0hn3,⚡️🌊⚡️,131,16,378,False,434
2022-06-16 15:59:52,"New morning snack recommendation !  ,",[],[30973],['Starbucks'],0,0,,,1113205159943864326,AcainAlex,Alexandra Acain,1270,208,8953,False,3079
2022-06-16 15:59:34,"Theres a Starbucks in the heart of downtown AtlantaPeachtree and Internationalwhere homeless men take up every available seat, the place reeksand yet scores of young working women and men are lined up anyway. To make your point.",[],"[4099171, 701632996]","['JessicaValenti', 'dotunbello1']",0,0,4099171,JessicaValenti,15436015,seasonneverends,John Spalding,1735,2035,58828,False,37887
2022-06-16 15:59:31,Meat is on the way to Starbucks,[],[209290982],['SlimJim'],0,0,209290982,SlimJim,1417512990480470026,nourishyourfai1,Black Suit Bill,97,28,8700,False,1704
2022-06-16 15:59:18,Something is always off with the people that choose Starbucks over Dunkin,[],[],[],0,0,,,928454293,baseballdustin,Dustout,544,957,19999,False,11906
2022-06-16 15:58:54,New sketch - up late tonight,['Starbucks'],[],[],0,0,,,14457872,onawa,Carlos Rodela,298,1916,14265,False,39950
2022-06-16 15:58:50,Starbucks grilled cheese &gt;&gt;&gt;,[],[],[],0,0,,,864335453096263681,_honeyrae_,WESSIE. 🦁,198,300,25808,False,33834
2022-06-16 15:58:40,"A Starbucks on a ""crowded"" corner of a shopping center will move into a bank building and offer a drive-through, a report said. ,",[],[],[],0,0,,,18320430,SOPatch,South Orange Patch,1514,3251,0,False,21032
